TractName,TotalPopulation,MedianHouseholdIncome,MedianAge,state,county,tract,GEOID
Census Tract 427.28; Riverside County; California,2433,87266,35.6,06,065,042728,06065042728
Census Tract 427.30; Riverside County; California,5821,87661,32.7,06,065,042730,06065042730
Census Tract 427.31; Riverside County; California,8792,94208,41.9,06,065,042731,06065042731
Census Tract 427.32; Riverside County; California,6941,120008,31.8,06,065,042732,06065042732
Census Tract 427.33; Riverside County; California,13747,125321,33.4,06,065,042733,06065042733
Census Tract 427.37; Riverside County; California,3758,121277,32.5,06,065,042737,06065042737
Census Tract 427.38; Riverside County; California,8664,112138,31.2,06,065,042738,06065042738
Census Tract 427.39; Riverside County; California,8714,120286,34.1,06,065,042739,06065042739
Census Tract 427.40; Riverside County; California,1877,46763,72.0,06,065,042740,06065042740
Census Tract 427.41; Riverside County; California,2340,51786,72.3,06,065,042741,06065042741
Census Tract 427.42; Riverside County; California,6726,100479,33.2,06,065,042742,06065042742
Census Tract 427.43; Riverside County; California,4498,144158,34.2,06,065,042743,06065042743
Census Tract 427.44; Riverside County; California,4504,87286,31.7,06,065,042744,06065042744
Census Tract 427.45; Riverside County; California,6804,69734,43.5,06,065,042745,06065042745
Census Tract 427.46; Riverside County; California,4128,88359,30.3,06,065,042746,06065042746
Census Tract 427.47; Riverside County; California,4373,78096,27.7,06,065,042747,06065042747
Census Tract 427.48; Riverside County; California,5462,128607,34.2,06,065,042748,06065042748
Census Tract 427.49; Riverside County; California,4659,123583,33.3,06,065,042749,06065042749
Census Tract 427.50; Riverside County; California,3380,94083,39.2,06,065,042750,06065042750
Census Tract 427.51; Riverside County; California,6134,67273,43.7,06,065,042751,06065042751
Census Tract 427.52; Riverside County; California,4718,73957,58.0,06,065,042752,06065042752
Census Tract 428.01; Riverside County; California,4724,59671,27.9,06,065,042801,06065042801
Census Tract 428.02; Riverside County; California,5847,64940,27.2,06,065,042802,06065042802
Census Tract 429.02; Riverside County; California,4334,51506,29.9,06,065,042902,06065042902
Census Tract 429.03; Riverside County; California,5593,70044,37.0,06,065,042903,06065042903
Census Tract 429.05; Riverside County; California,4900,63981,31.8,06,065,042905,06065042905
Census Tract 429.06; Riverside County; California,6111,64667,29.1,06,065,042906,06065042906
Census Tract 429.07; Riverside County; California,4308,67888,29.9,06,065,042907,06065042907
Census Tract 429.08; Riverside County; California,4192,64869,32.7,06,065,042908,06065042908
Census Tract 430.01; Riverside County; California,11689,85750,32.6,06,065,043001,06065043001
Census Tract 430.03; Riverside County; California,7353,50640,29.5,06,065,043003,06065043003
Census Tract 430.05; Riverside County; California,5877,85509,31.2,06,065,043005,06065043005
Census Tract 430.06; Riverside County; California,4760,46614,32.8,06,065,043006,06065043006
Census Tract 430.07; Riverside County; California,7421,128628,38.0,06,065,043007,06065043007
Census Tract 430.08; Riverside County; California,5588,92220,35.4,06,065,043008,06065043008
Census Tract 430.09; Riverside County; California,5216,107104,31.7,06,065,043009,06065043009
Census Tract 430.10; Riverside County; California,5257,72610,36.2,06,065,043010,06065043010
Census Tract 432.01; Riverside County; California,3588,148139,45.9,06,065,043201,06065043201
Census Tract 432.02; Riverside County; California,5943,134500,40.8,06,065,043202,06065043202
Census Tract 432.03; Riverside County; California,2904,146023,46.3,06,065,043203,06065043203
Census Tract 432.04; Riverside County; California,8221,126250,34.2,06,065,043204,06065043204
Census Tract 432.05; Riverside County; California,5503,132736,32.1,06,065,043205,06065043205
Census Tract 432.06; Riverside County; California,7821,89400,32.9,06,065,043206,06065043206
Census Tract 432.07; Riverside County; California,4430,104500,33.4,06,065,043207,06065043207
Census Tract 432.08; Riverside County; California,5232,131875,34.3,06,065,043208,06065043208
Census Tract 432.09; Riverside County; California,3481,78622,39.0,06,065,043209,06065043209
Census Tract 432.10; Riverside County; California,4322,76168,50.2,06,065,043210,06065043210
Census Tract 432.11; Riverside County; California,7289,117037,31.9,06,065,043211,06065043211
Census Tract 432.16; Riverside County; California,6763,85443,34.7,06,065,043216,06065043216
Census Tract 432.17; Riverside County; California,3358,141994,42.2,06,065,043217,06065043217
Census Tract 432.18; Riverside County; California,5258,129375,43.3,06,065,043218,06065043218
Census Tract 432.20; Riverside County; California,4576,72610,31.3,06,065,043220,06065043220
Census Tract 432.22; Riverside County; California,5104,104564,39.2,06,065,043222,06065043222
Census Tract 432.27; Riverside County; California,8370,118750,32.5,06,065,043227,06065043227
Census Tract 432.28; Riverside County; California,4619,88409,30.7,06,065,043228,06065043228
Census Tract 432.29; Riverside County; California,4378,77807,65.6,06,065,043229,06065043229
Census Tract 432.35; Riverside County; California,11937,123558,37.5,06,065,043235,06065043235
Census Tract 432.46; Riverside County; California,6318,160250,38.2,06,065,043246,06065043246
